"Austria","AT",372
"Canada","CA",1424
"China","CN",3494
"Czech Republic","CZ",174
"Denmark","DK",311
"Finland","FI",246
"France","FR",2599
"Germany","DE",3335
"Greece","GR",311
"Hong Kong","HK",207
"Hungary","HU",138
"India","IN",1187
"Italy","IT",2116
"Japan","JP",4378
"Mexico","MX",1036
"Poland","PL",425
"Romania","RO",171
"Slovakia","SK",84
"South Korea","KR",1049
"Spain","ES",1444
"Sweden","SE",462
"United Kingdom","GB",2812
"United States","US",14062
